math score,reading score,writing score,placement score,placement offers,count,club join years
85,90,88,92,2,1,1990
78,82,80,85,1,1,1991
92,95,94,98,3,1,1992
70,75,72,78,1,1,1993
88,87,90,91,2,1,1994
65,68,70,72,0,1,1995
80,85,83,88,2,1,1996
77,79,78,80,1,1,1997
95,97,96,99,4,1,1998
60,62,65,68,0,1,1999
83,86,85,89,2,1,2000
74,78,76,80,1,1,2001
90,92,91,95,3,1,2002
68,70,72,74,0,1,2003
86,88,87,90,2,1,2004
81,84,82,87,2,1,2005
73,77,75,79,1,1,2006
89,91,90,93,3,1,2007
67,69,71,73,0,1,2008
84,87,86,90,2,1,2009
76,80,78,82,1,1,2010
93,96,95,99,4,1,2011
62,65,67,70,0,1,2012
87,89,88,92,2,1,2013
79,83,81,85,1,1,2014
91,94,93,97,3,1,2015
66,68,70,72,0,1,2016
82,85,84,88,2,1,2017
75,79,77,81,1,1,2022
94,97,96,100,4,1,2023
